,location,total_sqft,bath,bhk,price
3360,Haralur Road,1230.0,2,2,78.0
3361,other,1080.0,2,3,75.0
3362,Kaggalipura,1000.0,2,2,60.0
3364,Whitefield,630.5,1,1,32.79
3365,Rayasandra,1708.0,3,3,75.0
3366,Thanisandra,1697.0,3,3,115.0
3368,Hosa Road,615.0,1,1,28.29
3369,Banashankari,1350.0,2,3,83.0
3370,Kanakpura Road,1530.0,2,3,66.4
3371,Jalahalli,1083.0,2,2,32.49
3372,Gottigere,1460.0,2,3,65.0
3373,Babusapalaya,1084.0,2,2,58.0
3374,Bommasandra,1035.0,2,2,41.43
3376,Hosur Road,460.0,1,1,21.0
3378,Whitefield,1285.0,2,2,55.9
3380,Sarjapur,1200.0,3,3,78.0
3381,other,1070.0,2,2,35.0
3382,Hegde Nagar,1801.0,3,3,140.0
3383,Whitefield,1697.0,3,3,115.0
3384,AECS Layout,1199.0,2,2,65.0
3385,Iblur Village,2300.0,3,3,220.0
3386,Mysore Road,1340.0,2,3,64.31
3389,other,1125.0,2,2,75.0
3390,Anandapura,1200.0,2,2,67.0
3391,Subramanyapura,1050.0,2,2,41.0
3392,Nagarbhavi,956.0,2,2,49.0
3393,Sarjapur,1000.0,2,2,30.0
3394,other,1596.0,3,3,95.0
3396,Kanakpura Road,1296.0,2,2,89.06
3398,other,1639.0,3,3,123.0
3399,Electronic City Phase II,1219.0,2,2,61.25
3400,Uttarahalli,1200.0,3,3,50.0
3401,Bannerghatta Road,1218.0,2,2,73.0
3402,other,920.0,2,2,37.0
3404,2nd Phase Judicial Layout,525.0,1,1,26.0
3405,Bannerghatta Road,1427.0,2,3,48.51
3406,Kothannur,1270.0,3,3,45.0
3407,Ramagondanahalli,920.0,2,2,65.0
3410,Ramamurthy Nagar,1355.0,2,3,40.0
3411,Lingadheeranahalli,1530.0,2,3,90.0
3412,other,1372.0,2,3,90.0
3415,Jakkur,1950.0,3,3,131.0
3416,other,885.0,2,2,40.0
3417,Yelahanka,600.0,2,2,27.0
3420,Kanakpura Road,1339.0,2,2,62.0
3421,Whitefield,1130.0,2,2,36.0
3422,Uttarahalli,1085.0,2,2,43.0
3423,Yeshwanthpur,1430.0,3,3,72.0
3424,Bhoganhalli,1451.5,4,4,121.0
3426,other,1490.0,2,3,59.6
3427,other,1650.0,4,4,99.0
3428,Bellandur,1286.0,2,2,57.0
3429,other,925.0,2,2,63.0
3431,Haralur Road,1000.0,2,2,44.0
3432,Whitefield,1215.0,2,2,39.0
3433,other,1200.0,3,4,95.0
3434,Lakshminarayana Pura,1336.0,2,2,100.0
3435,Yeshwanthpur,673.0,1,1,36.85
3436,Anandapura,1200.0,2,2,58.0
3438,Malleshwaram,1600.0,3,3,160.0
3439,other,1200.0,2,2,79.0
3443,Sector 2 HSR Layout,1143.0,2,2,65.0
3444,Kanakpura Road,1470.0,2,2,61.74
3445,other,1584.0,3,4,145.0
3446,Marathahalli,1785.0,3,3,94.0
3448,Kothanur,1460.0,3,3,71.0
3449,Kasturi Nagar,1500.0,2,3,80.0
3452,Chikkalasandra,1230.0,2,2,48.0
3453,Yelahanka New Town,650.0,1,1,20.0
3454,Benson Town,1480.0,2,2,120.0
3455,Thanisandra,1220.0,2,2,43.92
3456,other,1570.0,3,3,115.0
3458,Mallasandra,1665.0,3,3,86.91
3461,Ramamurthy Nagar,1100.0,2,2,68.0
3462,Kathriguppe,1350.0,2,3,87.01
3463,Kasavanhalli,1719.0,3,3,116.0
3464,Budigere,664.0,1,1,35.0
3465,Sonnenahalli,1011.0,2,2,50.53
3467,other,1680.0,3,3,85.0
3468,Yeshwanthpur,717.0,2,2,49.475
3470,Whitefield,1520.0,2,3,150.0
3471,Uttarahalli,1350.0,2,3,53.0
3472,Kothanur,1760.0,3,3,150.0
3473,Pattandur Agrahara,875.0,2,2,33.0
3474,Hennur,1231.0,2,2,48.0
3475,Somasundara Palya,1174.0,2,2,74.0
3476,Munnekollal,1560.0,3,3,75.0
3477,other,1464.0,2,2,56.0
3478,Kanakpura Road,2200.0,3,3,130.0
3479,Shivaji Nagar,850.0,2,2,55.0
3481,1st Phase JP Nagar,2024.0,3,3,157.0
3485,Devanahalli,1080.0,2,2,44.0
3487,Electronic City,1020.0,2,2,29.46
3488,Begur Road,1500.0,2,3,55.0
3491,Uttarahalli,1175.0,2,2,47.0
3492,Channasandra,1030.0,2,2,34.5
3493,Hebbal,1440.0,2,2,115.0
3494,Hoodi,1500.0,2,2,84.0
3495,Thanisandra,1380.0,1,1,62.1
3496,other,1200.0,2,2,50.0
3497,other,705.0,1,1,36.5
3499,Hegde Nagar,1584.01,3,3,103.0
3500,other,1340.0,3,3,77.0
3501,other,1800.0,3,3,70.0
3502,R.T. Nagar,1200.0,2,2,45.0
3503,Sarjapur  Road,685.0,1,1,40.0
3504,Kalkere,925.0,2,2,42.0
3505,other,1230.0,2,2,57.0
3507,Kodichikkanahalli,1125.0,2,2,52.0
3508,Hebbal,1100.0,2,2,54.0
3510,Electronic City Phase II,1400.0,2,3,41.58
3512,Jakkur,1858.0,3,3,98.3
3513,other,1260.0,1,1,41.0
3515,HSR Layout,1185.0,2,2,60.0
3517,Hennur,1255.0,2,2,58.0
3519,Kudlu Gate,1335.0,3,3,89.0
3520,Dodda Nekkundi,1999.0,3,3,132.0
3522,Kundalahalli,1397.0,3,3,110.0
3526,Chikka Tirupathi,1616.0,3,3,95.0
3529,Raja Rajeshwari Nagar,1140.0,2,2,38.55
3530,Kanakpura Road,525.0,1,1,30.0
3531,Varthur,1200.0,2,3,98.0
3533,Balagere,1205.47,2,2,81.0
3535,Electronic City,1700.0,3,3,75.0
3537,Kanakpura Road,1090.0,2,2,54.54
3540,Thanisandra,923.0,1,1,60.84
3542,Green Glen Layout,1050.0,2,2,48.0
3543,Whitefield,1495.0,2,2,79.5
3544,Hennur Road,1664.0,2,3,93.865
3545,Narayanapura,1485.0,3,3,85.0
3546,Dommasandra,1033.0,2,3,31.5
3547,Electronic City,1400.0,2,3,48.0
3549,Sarjapur  Road,944.0,2,2,35.0
3551,Whitefield,1216.0,2,2,66.48
3552,other,1100.0,2,2,39.5
3553,Thanisandra,1743.0,3,3,93.25
3554,Yelahanka,1274.0,2,2,48.42
3556,Mysore Road,1512.0,2,3,110.0
3558,Cox Town,1650.0,3,3,100.0
3559,Doddathoguru,1875.0,3,3,55.0
3560,Whitefield,1350.0,3,3,54.0
3561,other,1219.0,2,2,40.0
3564,Hormavu,1141.0,2,2,44.4
3565,Anandapura,1151.0,2,2,43.1
3566,Bommenahalli,832.0,3,3,77.0
3567,Sarjapur  Road,915.0,2,2,38.0
3569,Bannerghatta Road,1115.0,2,2,65.12
3570,Thigalarapalya,2072.0,4,3,139.0
3571,Kaggadasapura,1200.0,2,2,53.0
3572,Singasandra,1300.0,2,2,65.0
3573,Bellandur,1457.0,2,2,85.0
3574,Kannamangala,1262.0,2,2,55.0
3576,Ananth Nagar,900.0,2,2,22.5
3577,Attibele,420.0,1,1,17.0
3578,Kanakapura,1160.0,2,2,46.39
3579,Kasavanhalli,1115.0,2,2,50.0
3580,JP Nagar,1315.0,2,3,85.4
3581,Babusapalaya,1500.0,2,2,57.0
3582,HSR Layout,1127.0,2,2,68.0
3583,Kundalahalli,1397.0,3,3,104.0
3584,Whitefield,1173.0,2,2,60.0
3585,Sompura,1090.0,2,2,28.0
3587,Jakkur,1230.0,2,2,76.0
3589,Sarjapur  Road,858.0,2,2,31.57
3590,Talaghattapura,1868.0,3,3,121.0
3591,Uttarahalli,1689.28,3,3,91.2
3593,Banashankari,1425.0,3,3,49.88
3595,Tindlu,1350.0,2,2,100.0
3597,Uttarahalli,1310.0,2,3,85.0
3599,other,970.0,2,2,40.0
3600,Kundalahalli,1397.0,3,3,108.0
3601,Sarjapur,1157.0,2,2,40.0
3602,Kasavanhalli,1125.0,2,2,61.2
3603,Sonnenahalli,1157.0,2,2,42.0
3604,Sarjapur  Road,1241.0,2,2,82.0
3605,Binny Pete,660.0,1,1,62.0
3607,Rajiv Nagar,2340.0,4,4,148.0
3608,other,596.0,1,1,42.0
3610,other,1200.0,4,4,110.0
3611,other,1910.0,3,3,190.0
3612,Brookefield,1139.0,2,2,80.0
3614,Sarjapura - Attibele Road,1033.0,2,2,28.41
3615,Yeshwanthpur,1168.0,2,2,64.08
3616,Chandapura,877.0,2,2,42.0
3617,Electronics City Phase 1,1340.0,2,2,75.0
3618,other,1405.0,2,3,70.0
3619,other,1800.0,3,3,65.0
3620,other,1750.0,3,3,149.0
3621,other,1360.0,2,3,65.0
3623,other,985.0,2,2,63.0
3624,other,1300.0,2,2,129.0
3625,7th Phase JP Nagar,1850.0,3,3,150.0
3626,other,1490.0,2,3,88.0
3627,other,620.0,1,2,25.0
3628,Hormavu,1130.0,2,2,42.3
3629,Yelachenahalli,1080.0,2,2,55.0
3631,Begur Road,1410.0,2,3,52.17
3632,Bommanahalli,1375.0,3,3,59.0
3633,Hennur Road,1290.0,2,3,94.5
3634,Hosa Road,1318.0,2,3,85.28
3635,Electronic City,1128.0,2,2,68.0
3637,Kanakpura Road,1051.0,2,2,56.74
3640,Yelahanka,1327.0,2,2,85.0
3642,Basapura,1301.0,2,2,55.0
3643,other,650.0,1,1,30.0
3644,Varthur,1200.0,3,3,67.75
3645,other,1500.0,2,3,89.99
3648,Electronic City Phase II,1000.0,2,2,28.88
3649,Sarjapur  Road,984.0,2,2,45.91
3650,Jakkur,1819.18,3,3,160.0
3652,Hebbal,1355.0,3,3,83.87
3655,Kaggadasapura,1118.0,2,2,30.0
3656,other,910.0,1,1,42.0
3657,other,1250.0,3,3,39.0
3658,Hosakerehalli,1304.0,2,2,100.0
3659,Begur Road,1615.0,3,3,58.0
3660,Sarjapur  Road,1400.0,2,2,68.0
3661,CV Raman Nagar,1070.0,2,2,47.5
3663,Hoodi,1132.0,2,2,89.37
3664,other,2000.0,3,3,85.0
3666,Sector 2 HSR Layout,794.0,1,1,65.0
3667,Raja Rajeshwari Nagar,1090.0,2,2,43.59
3668,Gottigere,1500.0,3,3,70.0
3670,Kanakpura Road,525.0,1,1,30.0
3671,Bhoganhalli,1447.0,2,2,75.97
3672,Whitefield,1269.0,2,2,75.0
3674,Kanakpura Road,1070.0,2,2,37.45
3675,Talaghattapura,1150.0,2,2,28.0
3676,Marathahalli,1208.0,2,2,70.0
3677,Ramamurthy Nagar,1185.0,2,2,45.5
3679,Anekal,888.0,2,2,34.0
3680,Chandapura,1015.0,2,2,25.88
3681,other,532.0,1,1,22.49
3682,other,1060.0,3,3,62.0
3683,Electronic City,700.0,1,1,35.0
3684,other,902.0,2,2,42.0
3686,Uttarahalli,1175.0,2,2,47.0
3687,Binny Pete,1365.0,2,2,122.0
3688,Doddathoguru,984.0,2,2,51.0
3690,Jalahalli East,1475.0,3,3,96.0
3691,Haralur Road,1300.0,2,2,79.0
3693,Babusapalaya,1453.0,2,3,43.59
3695,Akshaya Nagar,1666.0,3,3,95.0
3698,Murugeshpalya,1845.0,3,3,91.0
3699,Sarjapura - Attibele Road,1676.0,3,3,52.0
3700,Uttarahalli,1137.0,2,2,63.0
3701,Electronic City,1360.0,2,3,70.5
3702,other,1374.0,2,3,70.0
3703,Judicial Layout,1700.0,3,3,155.0
3705,other,2145.0,4,4,125.0
3707,Kasavanhalli,2170.0,3,3,151.0
3708,other,1080.0,2,2,55.0
3709,Electronic City Phase II,1790.0,3,3,100.0
3710,Doddathoguru,550.0,1,1,17.0
3711,Poorna Pragna Layout,1270.0,2,3,50.79
3712,Somasundara Palya,1033.0,2,2,48.0
3713,other,1000.0,2,2,80.0
3715,other,1240.0,2,2,52.6
3717,Kambipura,883.0,2,2,39.0
3718,other,1500.0,2,3,97.0
3719,Marathahalli,1730.0,3,3,139.0
3720,Kasavanhalli,1915.0,3,3,80.0
3721,Whitefield,1545.0,3,3,79.0
3722,other,1865.0,4,3,140.0
3723,Hebbal Kempapura,1150.0,2,2,40.0
3724,other,1200.0,2,2,49.0
3725,Kengeri,963.0,2,2,40.0
3726,Marsur,1200.0,3,3,120.0
3728,Kaikondrahalli,1700.0,4,4,108.0
3729,Lingadheeranahalli,1682.0,3,3,120.0
3730,Yelahanka,1371.0,2,3,65.0
3731,Hennur Road,901.0,2,2,49.5
3733,Ambalipura,1730.0,3,3,120.0
3735,EPIP Zone,1500.0,3,3,102.0
3738,other,1203.0,2,2,59.86
3739,Horamavu Banaswadi,1357.0,2,2,54.0
3740,other,1600.0,3,3,76.0
3741,Yelahanka New Town,350.0,1,1,13.5
3742,Varthur,1665.0,3,3,53.0
3744,Sarjapur  Road,835.0,1,1,46.95
3746,Haralur Road,1444.0,2,3,80.0
3747,Kanakapura,1277.0,2,2,55.0
3748,Lingadheeranahalli,1521.0,3,3,94.71
3749,other,1134.0,2,2,40.0
3750,Vasanthapura,995.0,2,2,34.82
3752,Marathahalli,1325.0,1,2,92.0
3754,Marathahalli,1525.0,3,3,90.0
3755,other,1320.0,2,3,73.0
3756,Electronics City Phase 1,650.0,1,1,23.0
3757,Old Airport Road,1858.0,2,3,167.0
3758,Electronic City,1150.0,2,2,38.0
3759,Electronic City Phase II,769.0,2,2,40.0
3760,Electronic City,1571.0,3,3,105.0
3761,Hennur Road,1445.0,3,3,86.56
3762,Hosur Road,1590.0,2,3,135.0
3763,Bommasandra,902.0,2,2,49.0
3764,Sarjapur,2238.0,3,3,140.0
3765,Electronic City,1090.0,2,2,31.49
3766,Yelahanka,1712.0,3,3,82.0
3767,Haralur Road,1088.0,2,2,68.0
3768,Somasundara Palya,1575.0,3,3,63.1
3770,Kundalahalli,1920.0,3,3,150.0
3771,Margondanahalli,1000.0,2,2,57.0
3772,other,1100.0,2,2,56.1
3773,Electronic City,1089.0,2,2,45.0
3774,Horamavu Agara,1106.0,2,2,43.09
3775,Kengeri,927.0,2,2,37.0
3776,Kanakpura Road,1339.0,2,2,58.0
3777,Thanisandra,923.0,1,1,45.69
3779,Lakshminarayana Pura,1175.0,2,2,75.0
3780,Thubarahalli,975.0,2,2,55.0
3782,Subramanyapura,1330.0,3,3,72.0
3783,Thanisandra,1183.0,2,2,59.74
3784,Harlur,1758.0,3,3,133.0
3786,Hebbal,1255.0,2,3,77.68
3788,Pai Layout,1100.0,2,2,50.0
3789,Ramamurthy Nagar,1170.0,2,2,46.8
3791,Raja Rajeshwari Nagar,1530.0,3,3,51.77
3792,Hebbal,1420.0,2,2,107.0
3795,Kanakpura Road,1591.0,3,3,115.0
3796,7th Phase JP Nagar,1680.0,3,3,120.0
3797,other,675.0,3,2,52.0
3798,Hoodi,1055.0,2,2,57.63
3799,Iblur Village,1918.0,3,3,129.0
3800,Sarjapur  Road,1280.0,2,2,76.0
3801,Nagarbhavi,1560.0,3,3,66.0
3802,Sarjapur  Road,1145.0,2,2,49.5
3803,Talaghattapura,2106.0,3,3,126.0
3804,other,1801.0,3,3,139.0
3807,Whitefield,1306.0,3,3,54.65
3808,Hebbal,1320.0,2,2,92.0
3809,other,1350.0,2,3,65.0
3812,Bannerghatta Road,1344.0,2,3,42.0
3813,Bannerghatta Road,1893.0,3,3,100.0
3814,Chandapura,1107.0,2,3,43.0
3816,Lakshminarayana Pura,1190.0,2,2,75.0
3817,Whitefield,1000.0,2,2,35.0
3819,Kumaraswami Layout,1000.0,2,2,48.5
3820,Jalahalli,2113.0,3,3,155.0
3821,KR Puram,1100.0,2,2,46.0
3823,Harlur,1884.0,4,4,120.0
3824,Electronic City,1110.0,2,2,40.0
3825,Kudlu,1027.0,2,2,43.0
3826,other,1250.0,3,3,40.0
3827,Sarjapur  Road,1470.0,3,3,62.0
3828,other,1150.0,2,2,75.0
3830,Kudlu Gate,703.0,1,1,52.0
3831,other,1400.0,2,3,62.0
3832,Bellandur,1195.0,2,2,51.0
3833,Narayanapura,1302.0,2,2,69.1
3834,Begur Road,1583.0,3,3,74.4
3835,other,1488.0,2,3,60.0
3837,Kammasandra,1385.0,2,3,34.63
3839,Electronic City,1600.0,3,3,104.0
3840,Old Airport Road,1150.0,2,2,90.0
3842,Sarjapur  Road,1263.0,2,2,78.0
3844,Kanakpura Road,1299.0,2,2,85.0
3845,Banashankari,1330.0,2,2,78.0
3846,Devanahalli,1282.0,2,3,52.43
3847,other,1853.0,3,3,82.0
3848,other,861.0,2,2,35.0
3849,Bannerghatta Road,1600.0,3,3,95.0
3850,other,1256.0,2,2,62.8
3851,other,1390.0,2,3,80.0
3852,other,1550.0,2,3,90.0
3854,Hebbal,919.0,2,2,49.0
3855,Margondanahalli,1625.0,3,3,80.0
3856,Gunjur,1195.0,2,2,44.0
3858,Yelenahalli,1159.0,2,2,60.0
3859,Whitefield,1386.0,3,3,57.46
3860,Harlur,1197.0,2,2,79.0
3863,Bommasandra,1295.0,2,3,50.28
3864,other,1310.0,2,3,37.83
3865,Whitefield,1132.0,2,2,79.28
3868,Hebbal,1645.0,3,3,135.0
3869,Whitefield,1200.0,2,2,45.84
3871,Marathahalli,1937.0,3,3,140.0
3872,Doddathoguru,1015.0,2,2,33.5
3873,Nagadevanahalli,1080.0,2,2,39.0
3874,Kathriguppe,1350.0,2,3,80.99
3875,Kengeri Satellite Town,1149.0,2,3,29.0
3876,Kothanur,1185.0,2,2,59.0
3877,Domlur,1720.0,3,3,135.0
3878,Hebbal,2080.0,3,3,175.0
3879,Tindlu,1500.0,3,3,87.0
3880,Yelahanka,1566.0,3,3,97.0
3882,other,1500.0,4,4,110.0
3883,KR Puram,1290.0,2,2,49.02
3884,other,1531.0,3,3,72.0
3885,other,1839.0,3,3,165.0
3887,Electronic City Phase II,1400.0,2,3,40.43
3888,Electronic City,550.0,1,2,15.0
3889,Whitefield,1140.0,2,2,39.0
3890,Tumkur Road,1343.5,3,3,57.76
3891,Banashankari Stage III,2000.0,4,4,100.0
3892,Kaval Byrasandra,1100.0,2,2,46.0
3893,other,1200.0,2,2,55.0
3894,Bannerghatta,1618.0,3,3,68.0
3896,Uttarahalli,1315.0,2,3,74.0
3897,Anandapura,1141.0,2,2,42.75
3898,AECS Layout,1080.0,2,2,55.0
3899,HBR Layout,1200.0,2,2,60.0
3900,Varthur,1111.0,2,2,41.88
3901,NGR Layout,1022.0,2,2,45.9
3902,Bannerghatta Road,1275.0,2,2,65.0
3903,other,900.0,2,2,70.0
3904,Rachenahalli,1224.0,2,2,39.2
3905,Battarahalli,1135.0,2,2,43.0
3906,Rachenahalli,1050.0,2,2,52.1
3907,Kudlu Gate,1535.0,3,3,86.0
3908,Nagavarapalya,1392.0,2,2,130.0
3909,Bellandur,1050.0,2,2,72.0
3910,Hosa Road,1513.0,3,3,103.0
3911,Gottigere,1621.0,3,3,72.0
3912,Bannerghatta Road,892.0,2,2,39.0
3913,Whitefield,1205.0,2,2,40.0
3914,Hebbal,1355.0,3,3,83.87
3919,Kengeri,726.0,2,2,35.0
3920,other,1500.0,3,3,149.0
3922,Horamavu Agara,1079.0,2,2,41.0
3923,Begur Road,1170.0,2,2,46.0
3924,Doddathoguru,1104.0,2,2,39.0
3925,Kanakpura Road,950.0,2,2,45.0
3927,other,1650.0,2,3,52.0
3928,Kogilu,1559.0,3,3,127.0
3929,other,1100.0,2,2,38.0
3930,Benson Town,1750.0,3,3,150.0
3931,Ramagondanahalli,1215.0,2,2,45.5
3932,Talaghattapura,1868.0,3,3,135.0
3933,Electronic City,1130.0,2,2,32.63
3934,Kanakpura Road,1570.0,3,3,64.5
3935,Sarjapur  Road,1691.0,3,3,98.0
3937,Hulimavu,1225.0,2,2,55.0
3938,JP Nagar,1690.0,3,3,112.0
3939,Thigalarapalya,1418.0,2,2,103.0
3940,Kasturi Nagar,1896.0,3,4,125.0
3941,Sonnenahalli,605.0,1,1,40.0
3943,Electronic City Phase II,900.0,2,2,32.5
3944,other,750.0,2,1,50.0
3945,Hoodi,780.0,3,3,62.0
3946,Ananth Nagar,908.0,2,2,26.0
3950,Iblur Village,1400.0,2,2,68.0
3951,Kudlu,1092.0,2,2,44.0
3952,Hulimavu,1255.0,2,2,74.0
3953,Electronic City,1500.0,2,3,100.0
3954,Thanisandra,1296.0,2,2,72.0
3955,Horamavu Banaswadi,925.0,2,2,38.0
3956,Raja Rajeshwari Nagar,1023.0,2,2,42.0
3958,Thanisandra,1020.0,2,2,44.5
3959,Choodasandra,1530.0,3,3,77.0
3960,Gubbalala,1650.0,3,3,71.0
3961,other,1605.0,2,3,85.0
3962,Hosakerehalli,1925.0,2,2,50.0
3963,Kogilu,1190.0,2,2,50.66
3964,Jakkur,1374.0,3,3,68.0
3965,6th Phase JP Nagar,1140.0,2,2,65.0
3966,Green Glen Layout,1725.0,3,3,130.0
3967,Bisuvanahalli,1075.0,2,3,50.0
3968,Kannamangala,1574.0,3,3,93.34
3969,Sanjay nagar,965.0,1,1,32.0
3970,Marathahalli,1550.0,3,3,83.0
3971,other,1205.0,2,2,60.0
3972,Kambipura,1082.0,2,3,55.0
3973,Uttarahalli,1215.0,2,3,52.85
3975,other,1200.0,3,2,46.14
3976,other,1500.0,1,1,19.5
3979,Kanakpura Road,1452.0,3,3,60.98
3980,Electronic City Phase II,1329.0,2,3,41.0
3981,other,1125.0,2,2,44.0
3982,other,1200.0,2,2,70.0
3983,Sarjapur  Road,1350.0,3,3,39.97
3984,Uttarahalli,1312.5,3,3,51.19
3987,Electronic City Phase II,1220.0,3,3,35.23
3988,Pai Layout,1255.0,2,2,80.0
3989,other,1904.0,3,3,155.0
3990,Somasundara Palya,1329.0,2,2,70.0
3991,Chandapura,1200.0,2,2,60.0
3992,Murugeshpalya,2135.0,3,3,160.0
3994,other,813.0,1,1,39.0
3997,Kalena Agrahara,800.0,2,2,30.0
3999,Hormavu,1500.0,3,3,70.0
4000,Bannerghatta Road,1880.0,3,3,95.0
4001,Electronic City,1440.0,2,3,55.0
4002,Akshaya Nagar,1575.0,3,3,90.0
4003,other,1630.0,2,3,97.78
4004,Yelahanka,1180.0,3,3,55.0
4005,Nagadevanahalli,1090.0,2,2,36.0
4006,NGR Layout,1020.0,2,2,48.45
4008,Varthur,1097.0,2,2,33.82
4009,Raja Rajeshwari Nagar,1070.0,2,2,50.0
4010,Kumaraswami Layout,1000.0,2,2,58.0
4012,other,1150.0,2,2,56.0
4013,Frazer Town,1900.0,4,3,145.0
4014,other,1141.0,2,2,49.0
4015,Jigani,937.0,2,2,44.0
4016,Green Glen Layout,1075.0,2,2,60.0
4017,Panathur,1000.0,2,2,65.3
4018,Kasavanhalli,1450.0,3,3,77.41
4020,other,936.0,2,2,43.0
4021,other,1280.0,2,2,75.0
4022,Babusapalaya,1050.0,2,2,45.0
4023,Marathahalli,1350.0,2,2,86.0
4024,Mallasandra,1325.0,2,2,70.0
4025,Devanahalli,1174.0,2,2,59.0
4026,Hosur Road,1890.0,3,3,162.0
4028,other,500.0,1,1,24.0
4029,Gottigere,1304.0,3,3,80.0
4030,Yelahanka,1653.0,3,3,120.0
4031,Bisuvanahalli,1075.0,2,3,52.0
4032,7th Phase JP Nagar,1212.0,3,2,42.0
4033,other,1100.0,2,2,50.0
4036,Billekahalli,1140.0,2,2,50.0
4037,other,1200.0,2,2,100.0
4038,Kudlu Gate,1532.0,3,3,83.0
4040,Padmanabhanagar,1531.0,2,3,75.0
4041,Poorna Pragna Layout,1270.0,2,3,50.79
4042,Uttarahalli,1325.0,2,2,53.0
4044,Electronic City,1156.0,2,3,44.0
4046,Bannerghatta Road,1260.0,2,2,70.0
4047,Vittasandra,1934.0,2,2,90.0
4048,Malleshpalya,1060.0,2,2,40.0
4049,Kasavanhalli,1476.0,3,3,95.0
4050,Murugeshpalya,1185.0,2,2,85.0
4051,other,1265.0,2,3,82.0
4053,other,1196.0,2,2,56.81
4054,EPIP Zone,1280.0,2,2,69.0
4056,Hulimavu,1175.0,2,2,45.0
4057,other,1850.0,3,3,98.0
4059,Whitefield,1195.0,2,2,70.0
4060,Ulsoor,2000.0,3,3,185.0
4063,Hosur Road,1180.0,2,2,36.5
4064,Jakkur,1050.0,2,2,49.87
4065,Electronic City,1400.0,2,3,40.44
4067,other,1030.0,2,2,77.25
4068,other,1512.0,1,2,65.01
4069,Subramanyapura,929.0,2,2,48.0
4070,Jigani,1252.0,3,3,61.0
4071,Green Glen Layout,1485.0,3,3,115.0
4072,Electronics City Phase 1,1124.0,2,3,55.0
4074,Indira Nagar,1407.0,3,3,120.0
4075,Hennur Road,1482.0,2,3,97.0
4076,Sector 7 HSR Layout,1163.0,2,2,98.86
4077,Jalahalli,1570.0,3,3,140.0
4079,Chandapura,520.0,1,1,14.04
4080,other,2000.0,3,3,160.0
4081,Prithvi Layout,1352.0,2,2,75.0
4082,Electronic City,1152.0,2,2,65.0
4083,other,1575.0,3,3,93.0
4084,Hegde Nagar,1965.0,4,3,125.0
4085,other,1300.0,2,3,70.0
4087,Marathahalli,957.0,2,2,47.0
4088,Hoskote,1740.0,3,3,60.0
4090,Neeladri Nagar,1060.0,2,2,35.0
4091,other,975.0,2,2,50.0
4092,Ramamurthy Nagar,1150.0,2,2,51.0
4093,Whitefield,1738.0,2,3,79.0
4094,Bommanahalli,1250.0,3,3,55.0
4095,Bannerghatta Road,1788.0,3,3,90.0
4096,Kanakapura,1151.0,2,2,59.0
4097,Uttarahalli,1300.0,2,3,60.0
4098,Garudachar Palya,1150.0,2,2,52.8
4099,other,1380.0,2,2,75.0
4100,Hebbal,1645.0,3,3,117.0
4101,Babusapalaya,1141.0,2,2,45.9
4102,7th Phase JP Nagar,1175.0,2,2,82.5
4103,Banashankari Stage V,1355.0,2,3,61.0
4104,Dasarahalli,1150.0,2,2,70.0
4106,other,1000.0,2,2,45.0
4107,Balagere,1007.0,2,2,65.0
4109,Kothanur,1436.0,3,3,70.0
4115,Rayasandra,1016.0,2,2,58.0
4116,Dodda Nekkundi,1100.0,2,2,48.0
4117,other,1080.0,2,2,45.0
4118,Electronic City,1070.0,2,2,60.0
4119,Kadubeesanahalli,1532.0,3,3,115.0
4120,Hennur,1040.0,2,2,42.12
4122,Tumkur Road,1137.5,2,2,48.905
4123,Thanisandra,1430.0,2,3,51.6
4127,other,1190.0,2,2,100.0
4128,other,1827.0,3,3,100.0
4129,HRBR Layout,1210.0,2,2,75.0
4130,other,1500.0,3,3,95.0
4131,Rachenahalli,1050.0,2,2,53.5
4132,Hebbal,1251.0,2,2,88.73
4133,HSR Layout,1600.0,2,3,115.0
4134,Electronic City,1128.0,2,2,65.5
4135,Budigere,1820.0,3,3,93.0
4136,Thigalarapalya,2072.0,4,3,159.0
4137,Raja Rajeshwari Nagar,1510.0,2,3,59.0
4138,Hoodi,1925.0,2,3,114.0
4140,Thigalarapalya,2072.0,4,3,147.0
4141,Kumaraswami Layout,1000.0,2,2,36.0
4142,KR Puram,1752.0,3,3,145.0
4143,Sahakara Nagar,960.0,2,2,56.0
4144,other,1180.0,2,2,63.0
4145,Benson Town,2270.0,3,3,180.0
4146,NRI Layout,650.0,2,2,59.0
4147,Lakshminarayana Pura,1200.0,2,2,75.0
4148,Bisuvanahalli,1180.0,2,3,46.0
4149,other,1300.0,3,3,47.0
4150,Bannerghatta Road,1157.0,2,2,40.0
4151,Kanakpura Road,1300.0,3,3,69.0
4152,Banashankari Stage III,1305.0,2,3,59.0
4153,Hegde Nagar,2006.0,4,3,196.0
4154,Jakkur,1290.0,2,2,80.0
4155,Hoskote,1170.0,2,2,45.0
4157,Yelachenahalli,1400.0,2,2,78.0
4158,Lakshminarayana Pura,1200.0,2,2,75.0
4159,other,1155.0,2,3,60.0
4160,Hormavu,1725.0,3,3,85.0
4161,Kanakpura Road,700.0,2,2,40.0
4163,Hoodi,1112.0,2,2,88.0
4164,Somasundara Palya,1178.0,2,2,78.0
4165,Badavala Nagar,1274.0,2,2,81.0
4166,Doddathoguru,915.0,2,2,32.0
